"mlbam_id","year","Change","Fourseam","Slider","Curve","Sinker","Split","Cutter","Knuckler","Slow.Curve","Screwball"
444436,2013,49,26,406,NA,692,NA,NA,NA,NA,NA
444436,2012,76,78,293,NA,561,NA,NA,NA,NA,NA
444436,2011,86,5,172,NA,475,NA,NA,NA,NA,NA
444436,2010,22,1,339,NA,605,NA,NA,NA,NA,NA
543900,2015,53,218,117,NA,118,NA,NA,NA,NA,NA
543900,2014,170,596,200,NA,188,NA,NA,NA,NA,NA
543900,2013,10,68,50,NA,41,NA,NA,NA,NA,NA
450308,2015,449,631,285,510,474,NA,NA,NA,NA,NA
450308,2014,664,781,363,681,1027,NA,NA,NA,NA,NA
450308,2013,384,689,302,367,651,NA,NA,NA,NA,NA
450308,2012,383,841,383,306,955,NA,NA,NA,NA,NA
450308,2011,566,1168,694,373,951,NA,NA,NA,NA,NA
450308,2010,503,1263,674,461,866,NA,NA,NA,NA,NA
213711,2010,38,14,278,85,314,NA,NA,NA,NA,NA
453265,2015,209,479,55,NA,347,NA,NA,NA,NA,NA
453265,2014,259,403,124,NA,419,NA,NA,NA,NA,NA
453265,2013,204,NA,199,NA,729,NA,NA,NA,NA,NA
453265,2012,58,NA,226,NA,575,NA,NA,NA,NA,NA
453265,2011,75,485,65,NA,NA,NA,NA,NA,NA,NA
476589,2015,325,752,627,238,212,NA,NA,NA,NA,NA
476589,2014,212,473,439,121,77,NA,NA,NA,NA,NA
476589,2013,239,364,263,141,284,NA,NA,NA,NA,NA
476589,2012,7,29,15,14,12,NA,NA,NA,NA,NA
623913,2014,76,229,16,50,42,NA,1,NA,NA,NA
425426,2013,44,NA,26,32,307,NA,NA,NA,NA,NA
425426,2012,32,39,52,48,393,NA,NA,NA,NA,NA
425426,2011,59,26,128,62,620,NA,NA,NA,NA,NA
502208,2014,NA,10,2,9,9,NA,NA,NA,NA,NA
502208,2013,63,75,NA,215,271,NA,50,NA,NA,NA
502208,2012,146,178,NA,237,328,NA,126,NA,NA,NA
502208,2011,19,17,21,2,35,NA,7,NA,NA,NA
502208,2010,76,76,29,60,180,NA,60,NA,NA,NA
476205,2014,NA,22,21,NA,NA,NA,NA,NA,NA,NA
476205,2013,NA,89,71,NA,NA,NA,NA,NA,NA,NA
476205,2012,1,47,41,NA,NA,NA,NA,NA,NA,NA
476205,2011,1,7,6,NA,NA,NA,NA,NA,NA,NA
400104,2010,NA,259,178,NA,NA,82,NA,NA,NA,NA
592836,2015,NA,1695,NA,203,10,481,229,NA,NA,NA
592836,2014,NA,441,NA,114,3,131,62,NA,NA,NA
592836,2013,NA,190,NA,31,7,15,62,NA,NA,NA
592836,2012,1,7,NA,1,NA,NA,NA,NA,NA,NA
448252,2012,16,NA,50,NA,276,NA,NA,NA,NA,NA
448252,2011,9,NA,34,NA,127,NA,NA,NA,NA,NA
448252,2010,NA,NA,75,NA,160,NA,NA,NA,NA,NA
477229,2015,28,84,42,NA,NA,NA,NA,NA,NA,NA
477229,2014,92,553,215,NA,NA,NA,NA,NA,NA,NA
477229,2013,91,538,177,NA,NA,NA,NA,NA,NA,NA
477229,2012,28,599,143,NA,3,NA,NA,NA,NA,NA
477229,2011,31,911,179,NA,NA,NA,NA,NA,NA,NA
477229,2010,1,213,60,NA,NA,NA,NA,NA,NA,NA
123801,2011,NA,210,NA,57,NA,NA,NA,2122,NA,NA
123801,2010,NA,271,NA,74,NA,NA,NA,1836,NA,NA
621281,2015,45,103,27,NA,NA,NA,72,NA,NA,NA
621281,2014,13,18,13,NA,10,NA,NA,NA,NA,NA
474599,2014,14,167,35,NA,NA,NA,NA,NA,NA,NA
