yearID,playerID,HR,BB,HBP,SO,IPouts,FIP
2010,abadfe01,3,5,0,12,57,4.65794736842105
2010,brunebr01,1,20,0,16,53,5.39975471698113
2010,milletr02,2,16,2,22,108,4.079
2010,salech01,2,10,0,32,70,2.73614285714286
2010,millsbr02,2,13,1,18,67,4.51183582089552
2010,garcifr02,23,45,3,89,471,4.76689808917197
2010,daiglca01,3,6,0,6,31,7.43383870967742
2010,accarje01,0,3,1,3,20,3.979
2010,buchhcl01,9,67,5,120,521,3.61450863723608
2010,garcija01,2,26,4,56,166,3.15128915662651
2010,aceveal01,1,4,1,2,36,5.079
2010,danksjo01,18,70,4,162,639,3.69871830985916
2010,lincobr01,9,15,5,25,158,5.49039240506329
2010,mainejo01,8,25,2,39,119,5.77647899159664
2010,johnsji04,2,5,1,22,79,3.079
2010,garcija02,9,64,3,132,490,3.40961224489796
2010,troncra01,7,18,3,34,162,4.67159259259259
2010,acostma01,4,18,0,42,119,3.6336218487395
2010,buehrma01,17,49,1,99,631,3.90150396196514
2010,hudsoti01,20,74,9,139,686,4.08920408163265
2010,wagnebi02,5,22,3,104,208,2.09823076923077
2010,pineijo01,15,34,1,92,457,3.84048796498906
2010,adamsmi03,2,23,0,73,200,2.314
2010,davisdo02,6,21,3,34,115,5.21813043478261
2010,lindsma01,5,20,0,43,160,3.81025
2010,huffda01,14,34,3,37,239,5.8279539748954
2010,daviswa01,24,62,5,113,504,4.78733333333333
2010,affelje01,4,24,3,44,150,3.979
2010,ueharko01,5,5,0,55,132,2.39718181818182
2010,mockga01,2,5,0,3,10,13.579
2010,garlajo01,20,87,6,136,600,4.414
2010,monasca01,15,29,8,52,265,5.36579245283019
2010,bumgama01,11,26,5,86,333,3.65557657657658
2010,albaljo01,1,8,2,8,34,5.46135294117647
2010,garzama01,28,63,7,150,614,4.41776221498371
2010,valdece01,2,10,1,13,60,4.729
2010,cashke01,0,0,0,0,3,3.079
2010,alberma01,6,34,2,49,227,4.24199559471366
2010,hugheph01,25,58,0,146,529,4.25291304347826
2010,marinjh01,1,3,0,3,8,9.079
2010,santaer01,27,73,12,169,668,4.28259281437126
2010,jurrjja01,13,42,2,86,349,4.18788252148997
2010,gaudich01,16,25,8,53,196,6.1555306122449
2010,burneaj01,25,78,19,145,560,4.82542857142857
2010,valdera02,7,27,4,56,176,4.30627272727273
2010,marmoca01,1,52,8,138,233,2.010330472103
2010,santajo01,16,55,2,144,597,3.5362864321608
2010,loeka01,6,15,2,46,175,3.71328571428571
2010,hunteto02,21,33,3,68,384,4.9930625
2010,geedi01,2,15,0,17,99,4.20021212121212
2010,valvejo01,5,32,3,63,189,3.7774126984127
2010,karstje01,21,27,1,72,368,4.81541304347826
2010,purceda01,3,15,0,32,102,3.66723529411765
2010,morrobr01,11,66,9,178,439,3.16100455580866
2010,kawakke01,10,32,1,59,262,4.34999236641221
2010,vanderi01,2,8,2,18,53,4.21107547169811
2010,ogandal01,2,16,1,39,125,3.055
2010,igarary01,4,18,0,25,91,4.92515384615385
2010,vanevjo01,1,0,0,1,3,14.079
2010,germaju01,6,8,6,29,106,4.83371698113208
2010,varvaan01,2,6,0,5,12,11.579
2010,infangr01,0,4,0,5,14,3.50757142857143
2010,burtoja01,0,0,0,1,10,2.479
2010,moscogu01,0,2,1,2,2,10.579
2010,lopezfe01,0,1,0,0,3,6.079
2010,lopezja02,2,20,2,38,173,3.35645664739884
2010,ringro01,0,2,0,2,7,3.93614285714286
2010,gervasa01,1,5,0,3,11,9.079
2010,moseldu01,13,27,2,33,196,5.98716326530612
2010,jacksed01,21,78,6,181,628,3.85766242038217
2010,vazquja01,32,65,7,121,472,5.55781355932203
2010,scherma01,20,70,7,184,587,3.70762010221465
2010,motagu01,4,22,0,38,162,3.85677777777778
2010,chapmar01,0,5,0,19,40,1.354
2010,beckejo02,20,45,8,116,383,4.54375195822454
2010,moyerja01,20,20,6,63,335,4.97750746268657
2010,byrdati01,4,20,0,29,116,4.47555172413793
2010,moylape01,5,37,2,52,191,4.30413089005236
2010,ventejo01,1,39,8,93,249,2.6934578313253
2010,kenneia01,26,70,10,168,582,4.32642268041237
2010,jakubch01,0,0,0,0,2,3.079
2010,demelsa01,5,12,1,33,111,4.10602702702703
2010,mujiced01,14,6,0,72,209,3.88282775119617
2010,arrieja01,9,48,4,52,301,4.7633853820598
2010,verasjo01,5,29,1,54,144,4.05816666666667
2010,ramired01,1,10,0,10,33,5.16990909090909
2010,cabrefe01,1,2,0,0,4,17.329
2010,cahiltr01,19,63,6,118,590,4.18747457627119
2010,gomezje01,7,22,2,34,173,4.72639884393064
2010,mulveke01,2,2,1,1,9,14.079
2010,janssca01,8,21,4,63,206,3.85084466019417
2010,atchisc01,9,19,1,41,180,4.66233333333333
2010,verlaju01,14,71,6,219,673,2.96755869242199
2010,myersbr01,20,66,3,180,671,3.55739046199702
2010,westbja01,20,68,8,128,608,4.22373684210526
2010,herreda01,2,6,0,14,69,3.77465217391304
2010,jeffrje01,0,6,0,8,30,3.279
2010,atilalu01,11,32,2,40,257,5.00507003891051
2010,atkinmi01,2,6,1,10,30,5.779
2010,gonzaen01,4,17,0,13,78,6.04053846153846
2010,wheelda01,7,16,1,46,145,4.11348275862069
2010,gonzagi01,15,92,4,171,602,3.78165780730897
2010,villaca01,7,22,4,67,158,3.74355696202532
2010,chicoma01,0,0,1,3,15,2.479
2010,campsh01,8,18,4,46,217,4.15734101382488
2010,nelsojo01,2,6,0,9,25,6.199
2010,jenksbo01,3,18,1,61,158,2.58532911392405
2010,osullse01,15,31,1,43,251,5.52919920318725
2010,ramosce01,1,4,0,9,25,3.919
2010,gonzami02,1,14,0,31,74,2.79521621621622
2010,neshepa01,1,8,1,9,27,5.52344444444445
2010,dickera01,13,42,4,104,523,3.6468776290631
2010,capuach01,9,21,1,54,198,4.21536363636364
2010,sherrge01,4,24,1,25,109,5.19826605504587
2010,axforjo01,1,27,1,76,174,2.13072413793103
2010,hansoto01,14,56,14,173,608,3.30597368421053
2010,rapadcl01,2,7,0,5,27,7.19011111111111
2010,gorzeto01,11,68,2,119,409,3.92252078239609
2010,violape01,1,1,0,3,4,10.579
2010,carlsje01,3,5,1,8,41,6.079
2010,lidgebr01,5,24,1,52,137,3.86732116788321
2010,niemaje01,25,61,7,131,523,4.61054875717017
2010,jimenub01,10,92,9,214,665,3.10155639097744
2010,badenbu01,5,21,2,47,203,3.67013300492611
2010,grabojo02,5,13,1,20,77,5.68938961038961
2010,volqued01,6,35,3,67,188,4.00453191489362
2010,mahayro01,5,8,0,25,102,4.22605882352941
2010,maholpa01,15,62,9,102,556,4.17971942446043
2010,joaquwa01,0,7,1,2,14,7.36471428571429
2010,baezda01,6,23,3,28,143,5.1769020979021
2010,grayje02,1,5,1,4,28,5.54328571428571
2010,nifu01,2,19,2,22,69,5.03552173913044
2010,nippedu01,7,34,5,47,170,5.09076470588235
2010,bailean01,3,13,0,42,147,2.95655102040816
2010,clippty01,8,41,2,112,273,3.1779010989011
2010,harenda01,31,54,5,216,705,3.70878723404255
2010,mainesc01,1,5,0,11,39,3.54053846153846
2010,doteloc01,9,32,3,75,192,4.204
2010,sampsch01,7,8,1,16,91,5.91416483516484
2010,balesco01,2,11,2,28,63,3.50757142857143
2010,greense01,1,8,4,12,28,5.75757142857143
2010,harrelu01,2,17,0,15,72,5.03733333333333
2010,malonma02,2,5,1,13,62,3.94996774193548
2010,balfogr01,3,17,0,56,166,2.68140963855422
2010,sloweke01,21,29,4,116,467,3.97835760171306
2010,blackni01,25,40,4,68,483,5.07278881987578
2010,wakefti01,19,36,5,84,420,4.52185714285714
2010,carradj01,5,34,5,65,235,3.74282978723404
2010,norbejo01,3,22,0,15,60,6.829
2010,banksjo01,1,4,0,1,12,8.829
2010,bannibr01,23,50,3,77,383,5.46020104438642
2010,norribu01,18,77,6,158,461,4.16576789587852
2010,bardda01,6,30,2,76,224,3.37364285714286
2010,manuero01,5,7,0,5,38,9.079
2010,joneshu01,0,1,1,3,5,3.079
2010,greinza01,18,55,7,181,660,3.34263636363636
2010,reyesde01,2,21,2,25,114,4.26321052631579
2010,woodke02,4,29,3,49,138,4.16595652173913
2010,cashnan01,8,30,4,50,163,5.02992024539877
2010,walkety01,5,8,0,30,106,3.89975471698113
2010,woodti01,2,15,0,10,83,4.9223734939759
2010,smithjo06,7,11,2,26,126,4.93614285714286
2010,woodtr01,9,26,4,86,308,3.41990909090909
2010,waltepj01,5,10,0,22,90,4.779
2010,cassebo01,0,8,1,8,60,3.629
2010,tallebr01,20,38,4,53,232,6.69968965517241
2010,pauleda01,13,30,4,51,272,4.94297058823529
2010,bassbr01,0,10,1,5,22,6.21536363636364
2010,odayda01,5,12,5,45,186,3.49835483870968
2010,pavanca01,24,37,6,117,663,4.01565158371041
2010,bastaan01,1,9,2,26,56,2.75757142857143
2010,snellia01,10,25,1,26,139,6.44590647482014
2010,colomje01,1,11,1,16,51,4.079
2010,richadu02,2,14,1,12,39,6.69438461538462
2010,cecilbr01,18,54,1,117,518,4.03459845559846
2010,burnese01,3,20,1,62,189,2.72979365079365
2010,batismi01,9,39,5,55,248,4.76045161290323
2010,bonsebo01,2,8,0,17,75,3.719
2010,hellije01,5,8,2,33,109,3.87716513761468
2010,guerrma02,7,22,3,42,213,4.23392957746479
2010,weaveje01,5,20,1,26,133,4.79328571428571
2010,weaveje02,23,54,0,233,673,3.0567117384844
2010,kellesh01,5,12,1,26,75,5.159
2010,bautide01,4,27,3,44,101,4.6829603960396
2010,ohlenro01,12,44,6,79,325,4.44515384615385
2010,chacigu01,3,20,0,31,115,4.04421739130435
2010,chacijh01,10,61,9,138,412,3.54501941747573
2010,wrighwe01,6,13,3,29,99,5.13960606060606
2010,guthrje01,25,50,16,119,628,4.44046496815287
2010,ohmanwi01,4,23,1,43,126,3.9837619047619
2010,webbry01,1,19,1,44,177,2.82476271186441
2010,sosajo02,4,18,0,19,110,4.93354545454546
2010,okajihi01,6,20,0,33,138,4.64421739130435
