playerID,mlbam_id,yearID,HR,BB,HBP,SO,IPouts,FIP
perezma02,527048,2014,3,19,1,35,154,3.69693506493507
perezma02,527048,2012,3,15,2,25,114,4.14763157894737
reynoma02,519186,2011,10,18,0,50,152,4.6828947368421
reynoma02,519186,2012,11,17,0,51,172,4.6996511627907
reynoma02,519186,2013,2,5,1,23,82,2.97482926829268
rodrist02,572089,2013,5,19,2,63,163,3.08480981595092
rodrist02,572089,2015,0,3,0,8,31,2.45658064516129
rodrist02,572089,2014,1,4,0,14,42,2.91771428571429
santose01,435045,2014,5,18,0,29,63,6.0367619047619
santose01,435045,2015,1,0,0,3,9,5.46733333333333
santose01,435045,2015,2,7,0,15,40,4.409
santose01,435045,2013,1,4,0,28,77,1.84020779220779
skaggty01,572140,2012,6,13,2,21,88,5.85636363636364
skaggty01,572140,2013,7,15,2,36,116,4.85834482758621
skaggty01,572140,2014,9,30,4,86,339,3.54792920353982
tomlijo01,458708,2012,18,25,3,56,310,5.08854838709677
tomlijo01,458708,2011,24,21,3,89,496,4.27096774193548
tomlijo01,458708,2010,10,19,3,43,219,4.58584931506849
vargaja01,450306,2013,17,46,5,109,450,4.088
vargaja01,450306,2014,19,41,6,128,561,3.83788235294118
vargaja01,450306,2015,5,12,1,27,129,4.29679069767442
