"mlbam_id","yearID","HR","BB","HBP","SO","IPouts","FIP","Change","Fourseam","Slider","Curve","Sinker","Split","Cutter","Knuckler","Slow.Curve","Screwball","Fourseam.bway","Change.bway","Slider.bway","Sinker.bway","Curve.bway","Split.bway","Cutter.bway","Knuckler.bway","Slow.Curve.bway","Screwball.bway","Fourseam.vloc","Change.vloc","Slider.vloc","Sinker.vloc","Curve.vloc","Split.vloc","Cutter.vloc","Knuckler.vloc","Slow.Curve.vloc","Screwball.vloc","Fourseam.hloc","Change.hloc","Slider.hloc","Sinker.hloc","Curve.hloc","Split.hloc","Cutter.hloc","Knuckler.hloc","Slow.Curve.hloc","Screwball.hloc","Fourseam.pfx_z","Change.pfx_z","Slider.pfx_z","Sinker.pfx_z","Curve.pfx_z","Split.pfx_z","Cutter.pfx_z","Knuckler.pfx_z","Slow.Curve.pfx_z","Screwball.pfx_z","Fourseam.pfx_x","Change.pfx_x","Slider.pfx_x","Sinker.pfx_x","Curve.pfx_x","Split.pfx_x","Cutter.pfx_x","Knuckler.pfx_x","Slow.Curve.pfx_x","Screwball.pfx_x","Fourseam.maxmph","Change.maxmph","Slider.maxmph","Sinker.maxmph","Curve.maxmph","Split.maxmph","Cutter.maxmph","Knuckler.maxmph","Slow.Curve.maxmph","Screwball.maxmph","Fourseam.mph","Change.mph","Slider.mph","Sinker.mph","Curve.mph","Split.mph","Cutter.mph","Knuckler.mph","Slow.Curve.mph","Screwball.mph"
503285,2012,6,14,3,69,201,2.96067164179104,0,240,495,0,349,0,0,0,0,0,2.5,0,6.67,3.15,0,0,0,0,0,0,1.11,0,-0.43,-0.72,0,0,0,0,0,0,0.15,0,0.49,0.48,0,0,0,0,0,0,2.06,0,1.88,-4.4,0,0,0,0,0,0,-6.99,0,4.87,-6.67,0,0,0,0,0,0,89.99,0,81.09,88.3,0,0,0,0,0,0,86.92,0,78.45,85.44,0,0,0,0,0,0
503285,2013,7,15,5,59,186,3.58025806451613,0,264,516,0,196,0,0,0,0,0,3.03,0,5.62,5.1,0,0,0,0,0,0,0.64,0,-0.56,-0.76,0,0,0,0,0,0,0.33,0,0.46,0.54,0,0,0,0,0,0,2.53,0,1.28,-3.9,0,0,0,0,0,0,-7.31,0,4.36,-7.73,0,0,0,0,0,0,89.53,0,81.7,88.69,0,0,0,0,0,0,87.28,0,79.77,86.64,0,0,0,0,0,0
503285,2014,6,19,8,73,206,3.32132038834951,10,340,484,0,258,0,0,0,0,0,3.53,0,3.72,4.26,0,0,0,0,0,0,0.78,-1.34,-0.69,-0.78,0,0,0,0,0,0,0.16,2.04,0.68,0.59,0,0,0,0,0,0,3.52,-3.9,1.57,-3.52,0,0,0,0,0,0,-8.02,-5.38,4.32,-8.57,0,0,0,0,0,0,91.19,81.1,82.48,89.97,0,0,0,0,0,0,88.64,79.62,80.36,87.78,0,0,0,0,0,0
503285,2015,5,14,5,82,196,2.49114285714286,5,341,469,0,245,0,0,0,0,0,4.11,0,4.05,2.86,0,0,0,0,0,0,0.85,-1.53,-0.88,-1.06,0,0,0,0,0,0,-0.04,0.67,0.58,0.57,0,0,0,0,0,0,3.92,-5.08,1.97,-3.49,0,0,0,0,0,0,-7.06,-5.01,4.45,-8.04,0,0,0,0,0,0,90.62,83.06,82.65,89.64,0,0,0,0,0,0,88.28,80.08,80.37,87.3,0,0,0,0,0,0
503438,2010,1,1,0,0,3,19.079,0,10,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,-1.14,-1.78,0,0,0,0,0,0,0.22,0,0.06,0.55,0,0,0,0,0,0,8.8,0,-0.52,6.07,0,0,0,0,0,0,-4.08,0,3.62,-8.59,0,0,0,0,0,0,92.26,0,86.18,92.19,0,0,0,0,0,0,91.43,0,83.1,91.62,0,0,0,0,0,0
503438,2011,0,7,0,3,15,6.025,12,81,14,0,0,0,0,0,0,0,7.41,0,14.29,0,0,0,0,0,0,0,0.22,-1.32,-0.39,0,0,0,0,0,0,0,0.42,0.72,0.73,0,0,0,0,0,0,0,10.68,4.57,3.77,0,0,0,0,0,0,0,-5.6,-8.2,2.33,0,0,0,0,0,0,0,94.09,85.78,88.24,0,0,0,0,0,0,0,90.78,83.97,85.03,0,0,0,0,0,0,0
503449,2012,0,11,0,23,87,2.64672413793103,26,228,105,4,91,0,0,0,0,0,4.82,3.85,1.9,1.1,25,0,0,0,0,0,-0.25,-0.67,-0.75,-0.77,-0.02,0,0,0,0,0,0.29,0.81,0.22,0.31,0.56,0,0,0,0,0,9.41,7.95,-1.44,6.66,-6.18,0,0,0,0,0,-2.72,-5.58,2.42,-6.95,2.31,0,0,0,0,0,99.12,87.78,90.25,98.9,83.18,0,0,0,0,0,96.17,85.36,86.06,96.41,82.4,0,0,0,0,0
503449,2013,19,73,7,129,550,4.29709090909091,205,977,820,0,1108,0,0,0,0,0,5.32,4.88,4.27,2.8,0,0,0,0,0,0,-0.12,-0.76,-1.05,-0.64,0,0,0,0,0,0,0.27,0.49,0.4,0.11,0,0,0,0,0,0,9.79,8.82,1.14,7.38,0,0,0,0,0,0,-2.48,-5.18,0.92,-6.8,0,0,0,0,0,0,100.15,89.26,91.41,99.57,0,0,0,0,0,0,95.43,85.07,85.41,95.69,0,0,0,0,0,0
503449,2014,23,61,7,154,596,4.11354362416107,168,1104,946,0,1024,0,0,0,0,0,7.34,2.38,4.86,3.91,0,0,0,0,0,0,-0.14,-0.99,-0.9,-0.57,0,0,0,0,0,0,0.19,0.67,0.49,0.06,0,0,0,0,0,0,9.41,7.47,2.7,7.47,0,0,0,0,0,0,-4.31,-5.05,0.7,-6.88,0,0,0,0,0,0,99.98,90.61,91.51,99.7,0,0,0,0,0,0,96.48,85.01,86.38,96.68,0,0,0,0,0,0
503449,2015,14,37,4,60,326,4.83645398773006,92,312,473,0,789,0,0,0,0,0,6.73,3.26,2.54,4.94,0,0,0,0,0,0,-0.11,-0.84,-0.98,-0.5,0,0,0,0,0,0,0.39,0.76,0.59,0.04,0,0,0,0,0,0,9.66,7.46,0.58,7.49,0,0,0,0,0,0,-4.46,-5.79,1.45,-7,0,0,0,0,0,0,98.41,87.31,88.91,98.62,0,0,0,0,0,0,95.19,83.94,83.35,95.13,0,0,0,0,0,0
503569,2011,0,1,0,1,4,3.775,0,8,3,0,9,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,-0.27,0,0.06,-0.3,0,0,0,0,0,0,0.66,0,0.44,0.53,0,0,0,0,0,0,9.47,0,-1.27,5.54,0,0,0,0,0,0,-6.03,0,3.74,-8.48,0,0,0,0,0,0,98.44,0,83.14,98.24,0,0,0,0,0,0,96.48,0,82.16,96.64,0,0,0,0,0,0
503569,2012,5,23,3,24,114,5.595,6,126,102,0,457,0,2,0,0,0,6.35,16.67,5.88,5.69,0,0,0,0,0,0,-0.17,-0.86,-0.82,-0.45,0,0,-2.36,0,0,0,0.04,-0.04,0.21,0.09,0,0,1.68,0,0,0,9,7.98,-1.48,5.69,0,0,7.08,0,0,0,-5.33,-5.7,3.94,-8.34,0,0,0.66,0,0,0,98.32,90.33,88.63,98.76,0,0,93.9,0,0,0,96.35,88.52,83.96,95.87,0,0,93.15,0,0,0
503569,2013,0,2,0,0,15,4.248,0,33,12,0,30,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0.16,0,-0.38,-0.29,0,0,0,0,0,0,0.11,0,0.22,0.32,0,0,0,0,0,0,8.42,0,1.3,5.99,0,0,0,0,0,0,-6.63,0,4.08,-9.36,0,0,0,0,0,0,98.45,0,86.68,98.11,0,0,0,0,0,0,96.35,0,85.23,95.87,0,0,0,0,0,0
504083,2014,0,1,0,0,3,6.132,0,12,3,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,-0.55,0,-0.48,0,0,0,0,0,0,0,0.42,0,-0.36,0,0,0,0,0,0,0,5.64,0,-3.31,0,0,0,0,0,0,0,-6.14,0,2.66,0,0,0,0,0,0,0,98.39,0,87.86,0,0,0,0,0,0,0,96.17,0,86.77,0,0,0,0,0,0,0
