Cutter.bway.x,Cutter.bway.y,Cutter.hloc.x,Cutter.hloc.y,Cutter.maxmph.x,Cutter.maxmph.y,Cutter.mph.x,Cutter.mph.y,Cutter.pfx_x.x,Cutter.pfx_x.y,Cutter.pfx_z.x,Cutter.pfx_z.y,Cutter.vloc.x,Cutter.vloc.y,Cutter.x,Cutter.y,FIP.x,FIP.y,Fourseam.bway.x,Fourseam.bway.y,Fourseam.hloc.x,Fourseam.hloc.y,Fourseam.maxmph.x,Fourseam.maxmph.y,Fourseam.mph.x,Fourseam.mph.y,Fourseam.pfx_x.x,Fourseam.pfx_x.y,Fourseam.pfx_z.x,Fourseam.pfx_z.y,Fourseam.vloc.x,Fourseam.vloc.y,Fourseam.x,Fourseam.y,mlbam_id,yearID,tjs_label
5.29,5.31,0.34,0.44,94.59,93.61,91.07,91.04,0.67,1.03,6.69,6.48,-0.3,-0.22,397,113,3.01311627906977,6.05445945945946,4.81,4.23,0.35,0.48,95.94,96.25,93.37,93.43,-4.99,-3.69,9.69,9.16,0.21,-0.12,104,142,445926,2013,0
4.35,0,0.63,0.46,95.24,88.1,89.3,87.82,3.75,4.58,2.23,3.16,-0.77,-0.42,161,2,4.33931707317073,4.34030769230769,5.73,6.55,0.33,0.26,99.23,99.41,95.88,96.18,-0.98,-2.46,10.35,10.25,0.2,0.11,628,855,446099,2014,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04429006085193,4.20681818181818,5.64,5,0.04,0.01,97.14,96.32,94.09,93.42,6.98,6.26,9.45,9.41,0.21,0.04,1028,280,446321,2012,0
0,3.3,-0.16,0.02,87.87,91.85,86.68,87.36,-0.36,1.12,7.34,5.21,0.44,-0.15,5,182,5.09508086253369,4.03459845559846,6.23,5.56,-0.09,-0.02,94.22,96.17,89.48,90.96,4.05,3.69,10.46,9.68,0.3,0.2,706,1007,446399,2011,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06973913043478,3.62340909090909,8.24,6.94,0.05,0.3,97.02,96.86,94.43,93.23,5.96,6.8,8.95,9.71,-0.08,-0.22,364,620,448159,2013,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71178723404255,2.71466666666667,7.09,6.78,0.14,0.15,98.02,98.31,95.26,95.62,4.94,5.54,11.81,12,0.42,0.1,832,973,448281,2014,0
7.45,7.62,0.25,0.35,92.98,93.29,87.69,87.79,3.24,2.58,2.12,2.73,-0.28,-0.2,1061,814,3.59014977973568,3.4678250728863,6.18,6.01,0.31,0.44,96.77,96.47,93.63,93.04,-4.66,-4.76,10,10.5,0.11,-0.07,1197,1081,448306,2014,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.80928571428571,2.825,5.26,4.88,0.37,0.29,95.87,96.06,93.58,95,8.65,8.55,8.31,8.27,-0.24,-0.1,76,41,448722,2012,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10833333333333,5.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448753,2011,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97171232876712,3.22534246575342,9.2,6.62,0.03,-0.16,91.21,93.68,88.99,90.13,1.67,2.7,6.68,6.96,-0.14,0.04,261,710,448802,2012,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81902290076336,3.71667469879518,10.64,3.36,0.05,0.17,93.18,91.65,91.05,89.29,2.19,1.19,6.73,6.03,-0.07,-0.4,141,119,448802,2014,0
10.42,8.2,0.08,0.14,87.73,88.63,85.7,84.59,2.68,3,2.34,1.24,-0.17,-0.54,48,61,7.11942857142857,5.07714285714286,0,33.33,0.74,0.34,97,91.15,91.98,90.28,-2.22,-1.23,9.92,9.8,-0.59,0.86,4,6,449072,2013,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70242105263158,2.52898492462312,7.63,6.66,0.29,0.31,95.46,95.11,92.12,92.07,-7.83,-7.86,8.01,7.99,0.29,0.36,590,691,449097,2015,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.30878378378378,5.52344444444445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450212,2011,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93887804878049,2.37457425742574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450212,2015,0
4.65,3.68,-0.28,-0.36,93.68,94.09,89.33,89.71,0.92,0.9,4.89,4.5,-0.14,-0.26,387,598,3.50953846153846,4.04392915980231,6.95,8.2,0.21,0.05,94.81,95.81,91.66,92.32,5.33,5.22,8.45,8.35,0.22,0.14,1353,988,450351,2013,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42833333333333,7.290625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451482,2012,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93789254766031,3.89486346863469,6.59,3.75,0.34,0.23,94.95,94.92,92.21,91.58,-2.2,-0.96,9.52,10.13,-0.09,-0.1,1183,1093,451596,2014,0
3.79,4.65,-0.14,-0.17,92.89,92.5,88.75,88.81,-0.09,0.33,4.81,4.48,-0.85,-0.61,897,1118,2.91936585365854,2.79967830045524,5.55,5.8,0.38,0.22,96.02,96.6,92.84,93.06,5.74,6.15,9.64,9.33,-0.3,-0.02,1459,1518,452657,2015,0
2.99,3.79,0.73,0.71,90.64,88.84,86,85.34,0.63,0.32,2.86,2.43,-0.94,-0.8,234,290,4.51221782178218,3.21160199004975,6.08,6.33,0.4,0.42,96.1,96.51,92.33,92.51,-6.53,-7.24,10.08,9.92,0,0,1793,2260,453178,2015,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11730769230769,6.2320612244898,5.98,6.35,0.09,0.24,98.67,95.71,93.05,91.82,5.03,4.52,8.28,8.75,0.13,-0.02,702,378,453192,2011,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.495,5.425,3.64,5.26,0.26,0.45,94.58,93.72,92.19,91.51,-5.39,-5.27,9.29,8.78,0.27,0.39,55,19,453249,2012,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89692086330935,10.095,8.4,14.04,0.41,0.25,95.49,95.26,92.84,92.88,-1.8,-1.14,9.28,8.01,0.14,-0.07,488,57,453284,2013,0
3.98,4.72,0.29,0.24,92.22,91.77,88.55,88.35,2.53,2.58,5.14,5.83,-0.3,-0.2,678,466,4.0067553816047,2.78030769230769,6.02,5.68,0.42,0.42,95.63,96,92.69,92.84,-2.81,-3.65,8.8,10.23,0.01,0.13,748,563,453329,2014,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64847593582888,3.63838289962825,5.91,5.11,0.3,0.26,98.57,99.23,93.84,94.63,-3.58,-4.79,11.17,10.27,-0.17,0.13,1168,1820,453344,2012,0
4.1,4.75,0.01,-0.07,91,89.84,87.22,85.73,3.49,1.86,5.72,4.51,-0.43,-0.49,415,400,4.61786585365854,4.20894648829431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453385,2012,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89628712871287,3.66723529411765,5.52,4.9,0.18,0.17,96.38,96.1,93.71,92.93,7.62,7.21,9.52,10.21,0.08,0.32,471,490,453515,2011,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94282608695652,7.17205882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453580,2012,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90184729064039,2.86566666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454535,2011,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63026315789474,3.01482887700535,5.75,6,0.24,0.35,99.4,100.89,94.99,96.11,-2.52,-2.63,8.86,9.1,0.2,0.06,174,833,455009,2011,0
6.02,0,0.36,0,96.37,0,93.04,0,1.86,0,5.34,0,-0.06,0,83,0,3.02603448275862,5.63026315789474,5.39,5.75,0.33,0.24,100.08,99.4,95.5,94.99,-3.1,-2.52,8.33,8.86,0.23,0.2,557,174,455009,2012,0
8.81,6.02,0.25,0.36,94.69,96.37,91.65,93.04,2.29,1.86,5.02,5.34,-0.12,-0.06,159,83,4.6784347826087,3.02603448275862,7.23,5.39,0.28,0.33,98.1,100.08,95.44,95.5,-2.65,-3.1,8.53,8.33,0.53,0.23,166,557,455009,2013,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.001125,3.345,6.07,4.49,0.23,0.14,94.84,95.23,92.6,92.49,5.91,4.5,12.37,12.67,-0.17,0.16,428,601,455374,2013,0
5.79,6.67,0.61,0.57,94.93,97.05,89.15,89.89,1.3,1.14,4.36,4.47,-0.1,-0.25,501,510,3.02657142857143,3.04760663507109,6.4,4.74,0.36,0.12,97.38,99.31,94.53,96.51,7.62,7.73,8.21,9.17,0.16,0.02,422,401,456034,2013,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.975,1.525,6,0,0.08,-0.17,94.77,92.57,91.76,91.81,1.95,1.61,8.19,9.28,0.04,0.14,250,17,456045,2012,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5325,4.09008875739645,6.95,9.48,0.31,0.43,97.48,96.64,93.3,94.16,-7.69,-7.07,8.33,8.36,0.09,0.01,964,443,456051,2012,0
0,0,0.08,0.06,87.46,88.34,85.77,86.76,0.72,-3.28,1.53,4.75,0.48,0.68,4,10,3.98445945945946,4.94297058823529,4.65,3.33,0.02,-0.17,91.64,92.03,89.97,89.41,-7.67,-7.06,7.56,8.89,0.25,-0.03,43,60,456102,2011,0
4.24,3.26,0.17,0.57,93.69,92.07,89.43,89.21,-0.14,-0.16,5.02,5.05,0.13,0.13,850,215,3.30436662106703,3.80624175824176,5.28,6.44,0.41,0.44,98.12,97.06,94.03,93.71,-5.25,-5.15,8.96,8.8,0.4,0.56,1023,233,456501,2014,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.132,3.81723076923077,9.03,5.96,0.23,0.2,95.53,98.07,93.4,94.54,6.1,6.8,9.11,9.72,-0.07,0.03,144,319,457429,2014,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6151320754717,5.132,3.81,9.03,0.34,0.23,96.56,95.53,93.19,93.4,6.2,6.1,8.45,9.11,-0.02,-0.07,210,144,457429,2015,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46537037037037,3.56794478527607,6.6,5.69,0.25,0.14,98.26,97.64,94.49,93.49,6.78,7.38,8.55,8.71,0.13,0.43,303,457,457435,2012,0
