"Year","Fourseam","Change","Slider","pfx_var","mlbam_id","Sinker","Curve","Split","Cutter","Knuckler","Slow Curve","Screwball"
"2012","0.00","-5.40","6.40","pfx_x",446899,"-8.35",NA,NA,NA,NA,NA,NA
"2013","0.00","-5.77","6.97","pfx_x",446899,"-8.59",NA,NA,NA,NA,NA,NA
"2014","0.00","-4.82","8.37","pfx_x",446899,"-7.64",NA,NA,NA,NA,NA,NA
"2015","0.00","-4.85","6.29","pfx_x",446899,"-7.43",NA,NA,NA,NA,NA,NA
"2008","89.30","79.00","74.98","maxmph",446899,"0.00",NA,NA,NA,NA,NA,NA
"2009","90.87","79.58","75.55","maxmph",446899,"0.00",NA,NA,NA,NA,NA,NA
"2010","88.81","78.67","76.85","maxmph",446899,"0.00",NA,NA,NA,NA,NA,NA
"2011","89.33","80.49","77.13","maxmph",446899,"89.60",NA,NA,NA,NA,NA,NA
"2012","0.00","81.24","78.06","maxmph",446899,"90.34",NA,NA,NA,NA,NA,NA
"2013","0.00","82.23","78.15","maxmph",446899,"89.50",NA,NA,NA,NA,NA,NA
"2014","0.00","80.64","75.85","maxmph",446899,"88.87",NA,NA,NA,NA,NA,NA
"2015","0.00","80.35","76.77","maxmph",446899,"88.21",NA,NA,NA,NA,NA,NA
"2008","86.08","76.48","72.72","mph",446899,"0.00",NA,NA,NA,NA,NA,NA
"2009","85.69","76.29","72.70","mph",446899,"0.00",NA,NA,NA,NA,NA,NA
"2010","85.25","76.08","73.69","mph",446899,"0.00",NA,NA,NA,NA,NA,NA
"2011","86.34","77.71","74.01","mph",446899,"86.30",NA,NA,NA,NA,NA,NA
"2012","0.00","79.16","75.31","mph",446899,"87.08",NA,NA,NA,NA,NA,NA
"2013","0.00","79.47","75.16","mph",446899,"87.00",NA,NA,NA,NA,NA,NA
"2014","0.00","77.96","73.53","mph",446899,"85.53",NA,NA,NA,NA,NA,NA
"2015","0.00","77.92","74.49","mph",446899,"84.92",NA,NA,NA,NA,NA,NA
"2010","10.13",NA,"0.00","bway",473646,"0.00",NA,"0.00",NA,NA,NA,NA
"2011","12.00",NA,"11.11","bway",473646,"0.00",NA,"0.00",NA,NA,NA,NA
"2013","7.93",NA,"6.48","bway",473646,"0.00",NA,"0.00",NA,NA,NA,NA
"2014","4.83",NA,"5.83","bway",473646,"10.00",NA,"3.57",NA,NA,NA,NA
"2010","-0.25",NA,"-0.90","vloc",473646,"0.00",NA,"-0.99",NA,NA,NA,NA
"2011","0.06",NA,"-0.80","vloc",473646,"0.00",NA,"0.00",NA,NA,NA,NA
"2013","0.12",NA,"-0.70","vloc",473646,"0.00",NA,"-1.25",NA,NA,NA,NA
"2014","0.18",NA,"-0.59","vloc",473646,"-0.31",NA,"-0.94",NA,NA,NA,NA
"2010","0.27",NA,"0.20","hloc",473646,"0.00",NA,"0.67",NA,NA,NA,NA
"2011","0.53",NA,"0.01","hloc",473646,"0.00",NA,"0.00",NA,NA,NA,NA
"2013","0.45",NA,"0.40","hloc",473646,"0.00",NA,"0.31",NA,NA,NA,NA
"2014","0.52",NA,"0.38","hloc",473646,"0.57",NA,"0.48",NA,NA,NA,NA
"2010","10.50",NA,"-1.13","pfx_z",473646,"0.00",NA,"3.37",NA,NA,NA,NA
"2011","8.31",NA,"-0.80","pfx_z",473646,"0.00",NA,"0.00",NA,NA,NA,NA
"2013","10.03",NA,"-0.80","pfx_z",473646,"0.00",NA,"3.46",NA,NA,NA,NA
"2014","10.22",NA,"1.15","pfx_z",473646,"9.11",NA,"3.75",NA,NA,NA,NA
"2010","-4.93",NA,"2.47","pfx_x",473646,"0.00",NA,"-5.20",NA,NA,NA,NA
"2011","-4.40",NA,"3.76","pfx_x",473646,"0.00",NA,"0.00",NA,NA,NA,NA
"2013","-2.95",NA,"2.47","pfx_x",473646,"0.00",NA,"-6.31",NA,NA,NA,NA
"2014","-3.53",NA,"2.06","pfx_x",473646,"-6.76",NA,"-5.38",NA,NA,NA,NA
"2010","96.42",NA,"88.85","maxmph",473646,"0.00",NA,"86.02",NA,NA,NA,NA
"2011","95.74",NA,"86.96","maxmph",473646,"0.00",NA,"0.00",NA,NA,NA,NA
"2013","98.30",NA,"90.46","maxmph",473646,"0.00",NA,"88.21",NA,NA,NA,NA
"2014","97.37",NA,"90.57","maxmph",473646,"95.04",NA,"89.82",NA,NA,NA,NA
"2010","93.78",NA,"86.44","mph",473646,"0.00",NA,"83.28",NA,NA,NA,NA
"2011","93.90",NA,"85.38","mph",473646,"0.00",NA,"0.00",NA,NA,NA,NA
"2013","95.38",NA,"87.13","mph",473646,"0.00",NA,"86.17",NA,NA,NA,NA
"2014","94.58",NA,"87.00","mph",473646,"93.72",NA,"86.11",NA,NA,NA,NA
"2008","6.56","0.00","2.44","bway",407296,"6.13","0.00","0.92","5.33",NA,NA,NA
"2009","4.81","0.00","7.72","bway",407296,"8.05","5.88","1.57","6.35",NA,NA,NA
"2010","3.47","50.00","4.64","bway",407296,"6.31","8.82","1.29","5.94",NA,NA,NA
"2011","5.10","0.00","7.55","bway",407296,"5.97","4.94","1.03","6.44",NA,NA,NA
"2012","5.53","0.00","4.55","bway",407296,"4.96","1.54","2.29","6.19",NA,NA,NA
