"mlbam_id","year","Fourseam","Slider","Change","Curve","Sinker","Cutter","Split","Knuckler","Slow.Curve"
519437,2013,423,189,13,80,NA,NA,NA,NA,NA
519443,2014,716,NA,68,311,59,261,NA,NA,NA
519443,2013,495,NA,70,173,55,95,NA,NA,NA
519455,2009,1025,249,102,174,NA,NA,NA,NA,NA
523989,2011,792,130,171,NA,NA,NA,NA,NA,NA
525768,2014,332,NA,122,115,NA,NA,NA,NA,NA
525768,2013,660,NA,220,299,NA,NA,NA,NA,NA
527048,2014,233,101,145,65,317,NA,NA,NA,NA
527048,2013,683,237,453,101,398,NA,NA,NA,NA
527048,2012,216,66,136,93,247,NA,NA,NA,NA
527055,2011,208,NA,7,108,NA,NA,NA,NA,NA
542585,2014,72,20,6,2,NA,NA,NA,NA,NA
542585,2013,376,90,65,79,168,NA,NA,NA,NA
543070,2014,184,328,42,NA,478,NA,NA,NA,NA
543070,2013,53,371,4,NA,450,NA,NA,NA,NA
543339,2012,352,85,157,NA,140,65,NA,NA,NA
543339,2011,2101,625,815,NA,173,NA,NA,NA,NA
543339,2010,947,151,324,10,NA,NA,NA,NA,NA
543391,2013,32,NA,10,18,31,NA,NA,NA,NA
543391,2012,286,NA,62,161,122,NA,NA,NA,NA
543391,2011,33,NA,5,12,19,NA,NA,NA,NA
543409,2011,187,76,11,NA,NA,NA,NA,NA,NA
543409,2010,289,130,3,NA,NA,NA,NA,NA,NA
543921,2012,405,86,87,121,NA,NA,NA,NA,NA
545064,2016,10,9,2,NA,9,NA,NA,NA,NA
545064,2015,105,108,1,NA,61,NA,NA,NA,NA
545064,2014,74,17,NA,NA,NA,NA,NA,NA,NA
545404,2012,819,243,126,124,14,NA,NA,NA,NA
545404,2011,1476,475,250,236,NA,NA,NA,NA,NA
545404,2010,173,NA,64,32,NA,NA,NA,NA,NA
547749,2009,320,NA,NA,114,NA,NA,59,NA,NA
570810,2014,187,56,98,NA,45,NA,NA,NA,NA
570810,2013,58,27,53,NA,13,NA,NA,NA,NA
571578,2013,777,738,324,NA,1407,NA,NA,NA,NA
571578,2012,454,267,235,NA,653,NA,NA,NA,NA
571786,2014,521,140,39,NA,NA,60,NA,NA,NA
571800,2012,515,131,99,NA,239,NA,NA,NA,NA
572140,2014,700,8,174,449,506,12,NA,NA,NA
572140,2013,246,NA,131,138,193,NA,NA,NA,NA
572140,2012,418,NA,72,105,NA,NA,NA,NA,NA
572143,2014,105,NA,30,21,4,1,NA,NA,NA
572143,2013,413,NA,119,94,11,NA,NA,NA,NA
572383,2013,24,9,2,NA,NA,NA,NA,NA,NA
572831,2014,197,85,17,NA,5,104,NA,NA,NA
572831,2013,311,114,29,NA,3,NA,NA,NA,NA
592238,2014,805,217,80,NA,NA,NA,NA,NA,NA
592238,2013,297,107,45,NA,NA,NA,NA,NA,NA
594987,2015,3,14,9,NA,51,NA,NA,NA,NA
594987,2014,6,27,3,NA,125,NA,NA,NA,NA
595032,2015,48,80,74,32,89,NA,NA,NA,NA
595032,2014,341,395,300,NA,228,NA,NA,NA,NA
605169,2015,286,NA,NA,157,NA,NA,NA,NA,NA
605169,2014,270,NA,7,81,NA,NA,NA,NA,NA
605228,2014,353,NA,81,286,45,NA,NA,NA,NA
605228,2013,1322,NA,223,883,175,NA,NA,NA,2
605228,2012,3,NA,NA,7,3,NA,NA,NA,NA
623406,2014,248,85,29,NA,NA,NA,NA,NA,NA
623406,2013,28,12,1,NA,NA,NA,NA,NA,NA
