"playerID","mlbam_id","yearID","stint","teamID","lgID","W","L","G","GS","CG","SHO","SV","IPouts","H","ER","HR","BB","SO","BAOpp","ERA","IBB","WP","HBP","BK","BFP","GF","R","SH","SF","GIDP","FIP"
"baileho02",456701,2015,1,"CIN","NL",0,1,2,2,0,0,0,34,16,7,3,4,3,0.34,5.56,2,0,0,0,51,0,7,0,0,NA,7.10458823529412
"belltr01",457707,2014,1,"CIN","NL",0,0,2,0,0,0,0,2,5,5,0,2,0,0.714,67.5,0,0,0,0,9,0,5,0,0,0,12.132
"devinjo01",457733,2008,1,"OAK","AL",6,1,42,0,0,0,1,137,23,3,0,15,49,0.15,0.59,2,0,0,0,170,10,7,1,1,NA,1.97141605839416
"daviser02",458530,2013,1,"WAS","NL",1,0,10,0,0,0,0,26,10,3,0,1,12,0.278,3.12,0,1,0,0,38,2,3,1,0,NA,0.624923076923077
"hefneje01",458550,2012,1,"NYN","NL",4,7,26,13,0,0,0,281,110,53,9,18,62,0.287,5.09,1,7,2,0,408,5,55,4,1,NA,3.66083629893238
"hefneje01",458550,2013,1,"NYN","NL",4,8,24,23,0,0,0,392,132,63,20,37,99,0.26,4.34,4,1,5,0,556,1,75,3,4,NA,4.48677551020408
"herndda01",458589,2010,1,"PHI","NL",1,3,47,0,0,0,0,157,67,25,2,17,29,0.321,4.3,4,1,2,0,232,14,27,2,2,NA,3.55670700636943
"herndda01",458589,2011,1,"PHI","NL",1,4,45,0,0,0,1,171,54,21,9,24,39,0.258,3.32,7,3,2,0,243,22,26,7,1,NA,5.07763157894737
"herndda01",458589,2012,1,"PHI","NL",0,1,5,0,0,0,0,23,10,4,1,1,8,0.333,4.7,0,0,0,0,33,2,4,2,0,NA,3.095
"lynnla01",458681,2013,1,"SLN","NL",15,10,33,33,0,0,0,605,189,89,14,76,198,0.252,3.97,0,6,11,0,856,0,92,11,8,NA,3.28105785123967
"lynnla01",458681,2014,1,"SLN","NL",15,10,33,33,2,1,0,611,185,62,13,72,181,0.238,2.74,1,7,7,0,866,0,72,6,4,12,3.34803927986907
"lynnla01",458681,2015,1,"SLN","NL",12,11,31,31,0,0,0,526,172,59,13,68,167,0.258,3.03,5,2,5,0,751,0,66,9,2,NA,3.44198479087452
"tomlijo01",458708,2010,1,"CLE","AL",6,4,12,12,1,0,0,219,72,37,10,19,43,0.264,4.56,3,1,3,0,301,0,38,3,3,NA,4.58584931506849
"tomlijo01",458708,2011,1,"CLE","AL",12,7,26,26,0,0,0,496,157,78,24,21,89,0.248,4.25,2,3,3,0,662,0,80,1,3,NA,4.27096774193548
"tomlijo01",458708,2012,1,"CLE","AL",5,8,21,16,0,0,0,310,126,73,18,25,56,0.301,6.36,3,4,3,0,452,0,74,2,3,NA,5.08854838709677
"parnebo01",458730,2012,1,"NYN","NL",5,4,74,0,0,0,7,206,65,19,4,20,61,0.249,2.49,2,1,1,0,288,23,24,4,2,NA,2.99305825242718
"parnebo01",458730,2013,1,"NYN","NL",5,5,49,0,0,0,22,150,38,12,1,12,44,0.211,2.16,3,1,1,0,198,41,17,2,3,NA,2.328
