mlbam_id,yearID,HR,BB,HBP,SO,IPouts,FIP,Fourseam,Slider,Change,Curve,Sinker,Cutter,Split,Knuckler,Slow.Curve,Fourseam.bway,Change.bway,Slider.bway,Sinker.bway,Curve.bway,Cutter.bway,Split.bway,Knuckler.bway,Slow.Curve.bway,Fourseam.vloc,Change.vloc,Slider.vloc,Sinker.vloc,Curve.vloc,Cutter.vloc,Split.vloc,Knuckler.vloc,Slow.Curve.vloc,Fourseam.hloc,Change.hloc,Slider.hloc,Sinker.hloc,Curve.hloc,Cutter.hloc,Split.hloc,Knuckler.hloc,Slow.Curve.hloc,Fourseam.pfx_z,Change.pfx_z,Slider.pfx_z,Sinker.pfx_z,Curve.pfx_z,Cutter.pfx_z,Split.pfx_z,Knuckler.pfx_z,Slow.Curve.pfx_z,Fourseam.pfx_x,Change.pfx_x,Slider.pfx_x,Sinker.pfx_x,Curve.pfx_x,Cutter.pfx_x,Split.pfx_x,Knuckler.pfx_x,Slow.Curve.pfx_x,Fourseam.maxmph,Change.maxmph,Slider.maxmph,Sinker.maxmph,Curve.maxmph,Cutter.maxmph,Split.maxmph,Knuckler.maxmph,Slow.Curve.maxmph,Fourseam.mph,Change.mph,Slider.mph,Sinker.mph,Curve.mph,Cutter.mph,Split.mph,Knuckler.mph,Slow.Curve.mph
430963,2009,7,20,2,55,210,7.537137255,546,455,0,0,0,0,99,0,0,7.33,0,5.93,0,0,0,4.04,0,0,0.09,0,-0.58,0,0,0,-0.61,0,0,0.28,0,0.46,0,0,0,0.8,0,0,7.77,0,4.03,0,0,0,6.38,0,0,-7.09,0,0.92,0,0,0,-3.76,0,0,98.87,0,92.91,0,0,0,92.53,0,0,95.6,0,88.42,0,0,0,88.32,0,0
430963,2010,10,45,1,56,302,4.628668874,746,558,0,0,0,0,308,0,0,5.76,0,6.81,0,0,0,3.9,0,0,0.04,0,-0.4,0,0,0,-0.43,0,0,0.41,0,0.44,0,0,0,0.63,0,0,7.11,0,3.09,0,0,0,6.54,0,0,-7.1,0,1.71,0,0,0,-4.73,0,0,97.81,0,91.64,0,0,0,88.65,0,0,94.29,0,85.34,0,0,0,85.05,0,0
430963,2011,2,10,0,17,61,4.106967213,164,113,0,0,0,0,56,0,0,9.15,0,12.39,0,0,0,5.36,0,0,0.14,0,-0.4,0,0,0,-0.6,0,0,0.37,0,0.44,0,0,0,0.56,0,0,7.53,0,3.97,0,0,0,5.64,0,0,-7.88,0,1.07,0,0,0,-4.6,0,0,95.81,0,89.72,0,0,0,88.48,0,0,93.56,0,85.4,0,0,0,85.13,0,0
434298,2010,8,23,3,56,187,4.201994652,0,424,2,0,627,0,0,0,0,0,0,4.95,5.26,0,0,0,0,0,0,-3.24,-1.22,-0.34,0,0,0,0,0,0,0.3,0.45,0.13,0,0,0,0,0,0,3.46,2.14,6.38,0,0,0,0,0,0,-6.33,1.41,-8.17,0,0,0,0,0,0,85.4,89.15,97.65,0,0,0,0,0,0,84.39,85.05,94.35,0,0,0,0,0
434298,2011,4,20,1,46,179,3.41047486,0,431,6,0,525,0,0,0,0,0,0,3.71,5.71,0,0,0,0,0,0,0.04,-0.88,0.01,0,0,0,0,0,0,1.5,0.52,0.45,0,0,0,0,0,0,6.33,2.99,5.62,0,0,0,0,0,0,-9.12,1.28,-8.78,0,0,0,0,0,0,85.73,89.48,95.74,0,0,0,0,0,0,83.9,85.32,93.66,0,0,0,0,0
434298,2012,1,9,2,18,58,3.612241379,0,113,12,0,225,0,0,0,0,0,0,4.42,7.11,0,0,0,0,0,0,-0.75,-1.17,-0.34,0,0,0,0,0,0,0.37,0.46,-0.03,0,0,0,0,0,0,5.65,2.87,5.39,0,0,0,0,0,0,-9.94,1.26,-8.28,0,0,0,0,0,0,89.59,88.13,96.96,0,0,0,0,0,0,87.84,85.15,93.96,0,0,0,0,0
434641,2009,2,30,3,66,213,2.998408451,696,0,64,394,2,0,0,0,0,5.6,4.69,0,0,9.64,0,0,0,0,0.01,-0.76,0,0.48,-0.54,0,0,0,0,0.21,0.51,0,1.51,0.17,0,0,0,0,10.15,5.68,0,8.19,-3.77,0,0,0,0,-4.47,-7.47,0,-7.67,5.52,0,0,0,0,98.08,88.96,0,94.13,87.26,0,0,0,0,95.44,84.79,0,94.01,83.06,0,0,0,0
434641,2010,13,23,4,47,170,5.831941176,391,0,72,339,146,0,0,0,0,5.63,4.17,0,2.74,5.01,0,0,0,0,0.16,-0.91,0,-0.21,-0.67,0,0,0,0,0.17,0.76,0,0.31,0.32,0,0,0,0,10.04,3.53,0,7.03,-2.92,0,0,0,0,-4.3,-8.18,0,-7.91,4.69,0,0,0,0,97.74,88.73,0,97.54,86.79,0,0,0,0,95.24,85.32,0,95.08,83.17,0,0,0,0
434641,2011,3,9,1,23,55,4.279545455,122,0,16,112,110,0,0,0,0,6.56,12.5,0,2.73,4.46,0,0,0,0,0.15,-0.38,0,-0.21,-1.03,0,0,0,0,0.19,1.15,0,0.39,0.13,0,0,0,0,10.54,4.19,0,8.17,-6.11,0,0,0,0,-3.58,-8.59,0,-7.3,5.35,0,0,0,0,97.45,87.5,0,97.04,86.46,0,0,0,0,95.21,84.98,0,94.78,82.47,0,0,0,0
434663,2010,5,21,0,71,195,2.863615385,543,32,488,0,0,0,0,0,0,7.37,4.71,3.13,0,0,0,0,0,0,0.07,-0.57,-0.72,0,0,0,0,0,0,0.36,0.5,0.57,0,0,0,0,0,0,7.22,0.21,2.94,0,0,0,0,0,0,-8.32,-10.16,0.96,0,0,0,0,0,0,98.33,91.39,87.96,0,0,0,0,0,0,94.77,87.58,85.94,0,0,0,0,0,0
