playerID,mlbam_id,yearID,HR,BB,HBP,SO,IPouts
lynnla01,458681,2013,14,76,11,198,605
lynnla01,458681,2014,13,72,7,181,611
lynnla01,458681,2015,13,68,5,167,526
madsory01,425492,2010,4,13,4,64,159
madsory01,425492,2011,2,16,1,62,182
marquja01,150302,2011,11,43,5,76,396
marquja01,150302,2012,23,42,4,91,383
marquja01,150302,2013,18,68,4,72,353
mateoma01,456496,2010,6,9,1,26,65
mateoma01,456496,2011,2,10,0,25,69
matsuda01,493137,2009,10,30,2,54,178
matsuda01,493137,2010,13,74,8,133,461
matsuda01,493137,2011,4,23,1,26,112
mccarbr01,435221,2013,13,21,5,76,405
mccarbr01,435221,2014,25,33,3,175,600
mccarbr01,435221,2015,9,4,0,29,69
medlekr01,450665,2009,5,30,2,72,203
medlekr01,450665,2010,13,21,3,83,323
meloajo01,459974,2008,0,1,0,2,6
meloajo01,459974,2009,0,2,0,11,25
meredcl01,448592,2009,4,25,4,37,196
meredcl01,448592,2010,4,4,1,7,45
minerza01,435261,2008,10,46,6,62,354
minerza01,435261,2009,11,45,2,62,277
moorema02,519043,2012,18,81,7,175,532
moorema02,519043,2013,14,76,4,143,451
moorema02,519043,2014,1,5,0,6,30
mortoch02,450203,2010,15,26,7,59,239
mortoch02,450203,2011,6,77,13,110,515
mortoch02,450203,2012,5,11,2,25,151
motteja01,435400,2011,2,16,5,63,204
motteja01,435400,2012,9,17,2,86,216
nathajo01,150274,2008,5,18,2,74,203
nathajo01,150274,2009,7,22,2,89,206
novaiv01,467100,2012,28,56,10,153,511
novaiv01,467100,2013,9,44,14,116,418
novaiv01,467100,2014,6,6,2,12,62
nunezle01,434663,2010,5,21,0,71,195
nunezle01,434663,2011,8,21,1,55,193
oflaher01,447714,2011,2,21,3,67,221
oflaher01,447714,2012,3,19,2,46,172
oflaher01,447714,2013,2,5,0,11,54
ottavad01,493603,2013,5,31,2,78,235
ottavad01,493603,2014,6,16,4,70,195
ottavad01,493603,2015,0,2,1,13,31
outmajo01,489189,2008,1,8,2,19,77
outmajo01,489189,2009,9,25,0,53,202
parnebo01,458730,2012,4,20,1,61,206
parnebo01,458730,2013,1,12,1,44,150
parnebo01,458730,2014,0,1,0,1,3
paulife01,462956,2010,4,46,3,83,275
paulife01,462956,2011,13,55,8,133,418
paulife01,462956,2012,3,15,0,39,113
pelfrmi01,460059,2010,12,68,6,113,612
pelfrmi01,460059,2011,21,65,7,105,581
pelfrmi01,460059,2012,0,4,0,13,59
penato03,430963,2009,7,20,2,55,210
penato03,430963,2010,10,45,1,56,302
penato03,430963,2011,2,10,0,17,61
perezlu01,469802,2011,9,27,5,54,195
perezlu01,469802,2012,3,16,3,39,126
perezma02,527048,2012,3,15,2,25,114
perezma02,527048,2013,15,37,3,84,373
perezma02,527048,2014,3,19,1,35,154
proctsc01,429984,2008,7,24,0,46,116
reynoma02,519186,2011,10,18,0,50,152
reynoma02,519186,2012,11,17,0,51,172
reynoma02,519186,2013,2,5,1,23,82
riskeda01,228594,2008,6,25,0,27,127
riskeda01,228594,2009,0,0,0,0,3
rodrife02,451775,2011,6,30,3,57,157
rodrife02,451775,2012,10,34,1,78,211
rodrist02,572089,2013,5,19,2,63,163
rodrist02,572089,2014,1,4,0,14,42
rodrist02,572089,2015,0,3,0,8,31
rondobr01,541652,2013,2,11,0,30,86
sadleca02,594987,2014,0,5,1,7,31
sadleca02,594987,2015,1,1,0,5,15
santose01,435045,2013,1,4,0,28,77
santose01,435045,2014,5,18,0,29,63
santose01,435045,2015,3,7,0,18,49
simmosh01,623406,2014,1,11,0,23,65
simonal01,430580,2008,4,2,2,8,39
simonal01,430580,2009,5,2,0,3,19
skaggty01,572140,2012,6,13,2,21,88
skaggty01,572140,2013,7,15,2,36,116
skaggty01,572140,2014,9,30,4,86,339
smithbu03,572143,2013,9,21,0,46,109
surkaer01,474668,2011,1,17,2,13,80
tazawju01,547749,2009,4,9,3,13,76
threeer01,408069,2008,1,9,3,6,30
threeer01,408069,2010,0,3,0,6,37
tomlijo01,458708,2010,10,19,3,43,219
tomlijo01,458708,2011,24,21,3,89,496
tomlijo01,458708,2012,18,25,3,56,310
vargaja01,450306,2013,17,46,5,109,450
vargaja01,450306,2014,19,41,6,128,561
vargaja01,450306,2015,5,12,1,27,129
vizcaar01,527055,2011,1,9,1,17,52
wainwad01,425794,2009,17,66,3,212,699
wainwad01,425794,2010,15,56,4,213,691
wheelza01,554430,2013,10,46,4,84,300
wheelza01,554430,2014,14,79,11,187,556
whiteal01,502229,2011,15,25,4,37,154
whiteal01,502229,2012,13,51,5,64,294
whitlch01,595032,2014,10,18,4,60,227
whitlch01,595032,2015,3,5,2,16,58
wielajo01,543921,2012,5,9,1,24,83
withrch01,519437,2013,5,13,0,43,104
withrch01,519437,2014,1,18,1,28,64
woodbl01,502028,2010,6,22,1,31,149
woodbl01,502028,2011,5,32,3,62,209
workmbr01,519443,2013,5,15,0,47,125
workmbr01,519443,2014,11,36,1,70,261
worrema01,450312,2008,1,4,0,4,17
yatesty01,407884,2008,6,41,2,63,220
yatesty01,407884,2009,2,7,1,9,36
zimmejo02,519455,2009,10,29,4,92,274
zumayjo01,451491,2010,1,11,0,34,115
