key_mlbam,key_bbref
547943,ryuhy01
519240,rzepcma01
493416,saitota01
477569,salasfe01
517593,salazda01
519242,salech01
502188,samarje01
448200,sampsch01
572102,sampske01
502253,sanabal01
430083,sanchbr01
592717,sanchaa01
434671,sanchan01
500674,sanched01
456043,sanchjo01
454972,sanchro01
490313,sanitam01
429722,santaer01
502327,santihe01
434578,saundjo01
456045,saverjo01
444849,sborzja01
543746,scahiro01
489294,schepta01
453286,scherma01
519259,schleda01
459411,schlitr01
489295,schlibr01
534576,schlogu01
150011,schoesc01
519263,schugaj01
544759,schulbo02
435401,schumsk01
543754,schwimi01
452737,schwich01
519267,scribev01
434629,seddoch01
465015,septile01
463037,severat01
622663,severlu01
543766,shawbr01
282656,sheetbe01
430941,sherrge01
448306,shielja02
276912,shielsc01
533167,shoemma01
592741,shrevch01
543779,siegrke01
400067,silvaca01
446213,sinkbbr01
448609,sippto01
460104,slamaan01
460657,slatedo01
458713,sloweke01
605476,smithca02
434672,smithch08
276540,smithch07
460105,smithgr02
501925,smithjo05
502136,smithjo06
595001,smithjo07
519293,smithwi04
592767,smylydr01
430636,snellia01
501983,snidetr01
607087,snodgsc01
462515,socolmi01
519301,solissa01
458567,sonnaan01
465657,soriajo01
400089,soriara01
464400,sosahe01
407901,sosajo02
543803,sotogi01
543805,spencjo01
122620,sprinru01
543809,spruize01
489334,stammcr01
458094,stangda01
431162,staufti01
449777,stettmi01
459999,steveje01
543819,stewaza01
502139,stinsjo01
592781,stitema01
425530,stokebr01
502621,stoneto01
519322,storedr01
493547,storemi01
573185,straida01
544931,strasst01
434718,streehu01
519326,strichu01
573186,stromma01
467008,stroppe01
445590,stulter01
491696,sucreje01
122987,suppaje01
400085,suzukic01
461872,swarzan01
425789,sweenbr01
592789,syndeno01
538227,takahhi01
452676,talbomi01
425226,tallebr01
547888,tanakma01
452237,tanketa01
435620,taschja01
599899,tateyyo01
476531,tayloan01
501870,teafoev01
527054,teherju01
434565,tejedro01
572193,teperry01
519344,tepesni01
444427,texeika01
491159,thatcjo01
445612,thayeda01
573204,thielca01
346801,thomabr01
621962,thomaia01
476206,thomaju01
457744,thompaa01
433581,thompbr01
444354,thompda02
460366,thompri03
543853,thompta01
592804,thornty01
407819,thornma01
501957,tillmch01
474226,tobinma01
519357,toddje01
474521,tollesh01
476270,tollest01
123387,tomkobr01
543859,tonkimi01
456776,torreal01
448614,torreca01
595441,tracyma01
595014,treinbl01
470462,troncra01
607374,tropeni01
425835,tsaoch01
457761,tuckery01
592815,tuivasa01
545363,turneja01
493157,ueharko01
570632,urenajo01
447744,valdera02
491624,valdece01
572308,valdejo03
451990,valdejo01
429723,valdeme01
407832,valdewi01
407878,valvejo01
462995,vanderi01
457508,vanevjo01
282567,vargacl01
460008,varvaan01
457786,vasquan01
458220,vasques01
134320,vazquja01
453264,vealdo01
592826,velasvi01
519381,vendipa01
458924,ventejo01
570649,ventuyo01
407842,verasjo01
489400,verdury01
572403,verhadr01
434378,verlaju01
548337,verrelo01
453646,villaca01
534631,villael01
492821,villahe02
500903,villabr02
543881,villape01
543883,vinceni01
501638,violape01
285064,vogelry01
450172,volqued01
458690,volstch01
608379,wachami01
460677,wadeco01
123790,wagnebi02
474599,wagnene01
621281,wagnety01
123801,wakefti01
477229,waldejo01
448252,waldrky01
592836,walketa01
